item,organization_id,onhand_qty,reserved_qty,available_qty,subinventory_code,locator_code,serial_number,last_update_date,,Process_Area,Root_Cause_Tag,Context_Summary,SLA_Flag
ITEM-00189,101,360,0,360,QA,A05-B04-C02,,9/15/2025,0,,,ITEM ITEM-00189 has 360 units in WH QA . Available: 360; Reserved: 0.,
ITEM-00146,102,215,31,184,STAGING,A05-B04-C02,SNR8CHX09A,9/26/2025,0,,,ITEM ITEM-00146 has 215 units in WH STAGING . Available: 184; Reserved: 31.,
ITEM-00113,102,193,9,184,STAGING,A04-B02-C01,,9/4/2025,0,,,ITEM ITEM-00113 has 193 units in WH STAGING . Available: 184; Reserved: 9.,
ITEM-00084,301,199,16,183,RM,A01-B03-C01,SNVTJS51OK,9/20/2025,0,,,ITEM ITEM-00084 has 199 units in WH RM . Available: 183; Reserved: 16.,
ITEM-00078,101,205,22,183,QA,A05-B04-C02,SNTD9QXBWZ,10/13/2025,0,,,ITEM ITEM-00078 has 205 units in WH QA . Available: 183; Reserved: 22.,
ITEM-00275,102,187,4,183,QA,A04-B01-C02,,10/15/2025,0,,,ITEM ITEM-00275 has 187 units in WH QA . Available: 183; Reserved: 4.,
ITEM-00198,102,197,15,182,STAGING,A02-B03-C01,,9/15/2025,0,,,ITEM ITEM-00198 has 197 units in WH STAGING . Available: 182; Reserved: 15.,
ITEM-00130,102,196,14,182,FG,A02-B05-C02,,9/26/2025,0,,,ITEM ITEM-00130 has 196 units in WH FG . Available: 182; Reserved: 14.,
ITEM-00282,103,189,7,182,FG,A01-B05-C02,SNSZX5P091,9/16/2025,0,,,ITEM ITEM-00282 has 189 units in WH FG . Available: 182; Reserved: 7.,
ITEM-00046,301,183,1,182,RM,A03-B01-C02,,10/14/2025,0,,,ITEM ITEM-00046 has 183 units in WH RM . Available: 182; Reserved: 1.,
ITEM-00254,201,200,19,181,QA,A02-B02-C01,,10/17/2025,0,,,ITEM ITEM-00254 has 200 units in WH QA . Available: 181; Reserved: 19.,
ITEM-00263,101,199,18,181,RM,A04-B05-C02,,9/26/2025,0,,,ITEM ITEM-00263 has 199 units in WH RM . Available: 181; Reserved: 18.,
ITEM-00126,101,193,12,181,STAGING,A05-B04-C01,,9/28/2025,0,,,ITEM ITEM-00126 has 193 units in WH STAGING . Available: 181; Reserved: 12.,
ITEM-00012,102,194,13,181,STAGING,A05-B01-C01,,10/11/2025,0,,,ITEM ITEM-00012 has 194 units in WH STAGING . Available: 181; Reserved: 13.,
ITEM-00283,101,187,6,181,WIP,A05-B02-C01,SNP4KN1LBP,9/25/2025,0,,,ITEM ITEM-00283 has 187 units in WH WIP . Available: 181; Reserved: 6.,
ITEM-00186,102,191,11,180,RM,A03-B04-C01,,9/13/2025,0,,,ITEM ITEM-00186 has 191 units in WH RM . Available: 180; Reserved: 11.,
ITEM-00076,301,182,2,180,QA,A02-B01-C02,,10/3/2025,0,,,ITEM ITEM-00076 has 182 units in WH QA . Available: 180; Reserved: 2.,
ITEM-00198,301,198,20,178,WIP,A04-B03-C01,,9/25/2025,0,,,ITEM ITEM-00198 has 198 units in WH WIP . Available: 178; Reserved: 20.,
ITEM-00261,201,196,18,178,STAGING,A05-B01-C01,,9/8/2025,0,,,ITEM ITEM-00261 has 196 units in WH STAGING . Available: 178; Reserved: 18.,
ITEM-00173,201,195,17,178,FG,A04-B03-C02,,9/28/2025,0,,,ITEM ITEM-00173 has 195 units in WH FG . Available: 178; Reserved: 17.,
ITEM-00048,201,192,14,178,STAGING,A01-B02-C02,SNUS7Y0YK5,9/27/2025,0,,,ITEM ITEM-00048 has 192 units in WH STAGING . Available: 178; Reserved: 14.,
ITEM-00059,301,186,8,178,QA,A01-B04-C01,SN4P4HQNML,9/17/2025,0,,,ITEM ITEM-00059 has 186 units in WH QA . Available: 178; Reserved: 8.,
ITEM-00083,301,192,15,177,RM,A04-B02-C01,SND6WFWJ3C,9/26/2025,0,,,ITEM ITEM-00083 has 192 units in WH RM . Available: 177; Reserved: 15.,
ITEM-00069,102,224,48,176,RM,A02-B02-C02,,9/16/2025,0,,,ITEM ITEM-00069 has 224 units in WH RM . Available: 176; Reserved: 48.,
ITEM-00258,102,189,13,176,QA,A03-B05-C02,,9/5/2025,0,,,ITEM ITEM-00258 has 189 units in WH QA . Available: 176; Reserved: 13.,
ITEM-00106,103,186,10,176,STAGING,A02-B04-C01,SNLU6RJ4HD,9/18/2025,0,,,ITEM ITEM-00106 has 186 units in WH STAGING . Available: 176; Reserved: 10.,
ITEM-00277,103,196,22,174,QA,A02-B03-C02,SNTJ39RFUF,10/9/2025,0,,,ITEM ITEM-00277 has 196 units in WH QA . Available: 174; Reserved: 22.,
ITEM-00131,102,210,37,173,QA,A05-B01-C02,,10/1/2025,0,,,ITEM ITEM-00131 has 210 units in WH QA . Available: 173; Reserved: 37.,
ITEM-00082,101,184,11,173,RM,A05-B05-C01,SNK52VI6EA,9/19/2025,0,,,ITEM ITEM-00082 has 184 units in WH RM . Available: 173; Reserved: 11.,
ITEM-00100,301,173,0,173,FG,A03-B05-C02,SN22H17TJE,10/12/2025,0,,,ITEM ITEM-00100 has 173 units in WH FG . Available: 173; Reserved: 0.,
ITEM-00136,101,196,24,172,STAGING,A03-B01-C02,SN10DETIO3,10/14/2025,0,,,ITEM ITEM-00136 has 196 units in WH STAGING . Available: 172; Reserved: 24.,
ITEM-00123,301,181,9,172,QA,A02-B02-C02,SNF2S8SOSS,9/8/2025,0,,,ITEM ITEM-00123 has 181 units in WH QA . Available: 172; Reserved: 9.,
ITEM-00037,103,186,15,171,RM,A02-B03-C01,,9/13/2025,0,,,ITEM ITEM-00037 has 186 units in WH RM . Available: 171; Reserved: 15.,
ITEM-00193,102,180,9,171,FG,A05-B04-C02,SNOC70KOM2,10/7/2025,0,,,ITEM ITEM-00193 has 180 units in WH FG . Available: 171; Reserved: 9.,
ITEM-00030,102,189,19,170,WIP,A01-B05-C02,SN8LS4C1L9,9/18/2025,0,,,ITEM ITEM-00030 has 189 units in WH WIP . Available: 170; Reserved: 19.,
ITEM-00287,301,186,16,170,FG,A01-B03-C02,,10/9/2025,0,,,ITEM ITEM-00287 has 186 units in WH FG . Available: 170; Reserved: 16.,
ITEM-00082,201,184,14,170,QA,A03-B02-C02,SNRMYFVBGH,9/13/2025,0,,,ITEM ITEM-00082 has 184 units in WH QA . Available: 170; Reserved: 14.,
ITEM-00003,103,174,4,170,WIP,A04-B03-C02,SNESFWGYCP,9/21/2025,0,,,ITEM ITEM-00003 has 174 units in WH WIP . Available: 170; Reserved: 4.,
ITEM-00120,301,197,28,169,RM,A04-B02-C01,SNIA5MNPGZ,10/6/2025,0,,,ITEM ITEM-00120 has 197 units in WH RM . Available: 169; Reserved: 28.,
ITEM-00266,201,195,26,169,STAGING,A01-B01-C01,,9/12/2025,0,,,ITEM ITEM-00266 has 195 units in WH STAGING . Available: 169; Reserved: 26.,
ITEM-00162,201,186,17,169,FG,A03-B02-C01,SNKFP5PLJ8,10/12/2025,0,,,ITEM ITEM-00162 has 186 units in WH FG . Available: 169; Reserved: 17.,
ITEM-00271,103,183,14,169,STAGING,A01-B04-C02,,10/10/2025,0,,,ITEM ITEM-00271 has 183 units in WH STAGING . Available: 169; Reserved: 14.,
ITEM-00196,103,181,12,169,QA,A05-B01-C02,SNZZTTEFF9,10/15/2025,0,,,ITEM ITEM-00196 has 181 units in WH QA . Available: 169; Reserved: 12.,
ITEM-00222,103,199,31,168,STAGING,A05-B02-C02,SNN3TP5GEE,9/15/2025,0,,,ITEM ITEM-00222 has 199 units in WH STAGING . Available: 168; Reserved: 31.,
ITEM-00052,301,193,25,168,STAGING,A04-B02-C01,SNOPFLBNFR,10/9/2025,0,,,ITEM ITEM-00052 has 193 units in WH STAGING . Available: 168; Reserved: 25.,
ITEM-00082,301,187,19,168,QA,A03-B01-C02,SNTSN2DMG7,9/12/2025,0,,,ITEM ITEM-00082 has 187 units in WH QA . Available: 168; Reserved: 19.,
ITEM-00014,103,186,18,168,WIP,A03-B04-C02,,9/13/2025,0,,,ITEM ITEM-00014 has 186 units in WH WIP . Available: 168; Reserved: 18.,
ITEM-00269,301,185,17,168,WIP,A04-B03-C02,SNY9HYJ27A,9/14/2025,0,,,ITEM ITEM-00269 has 185 units in WH WIP . Available: 168; Reserved: 17.,
ITEM-00044,103,205,38,167,RM,A01-B03-C02,SN1F4YMT3B,9/8/2025,0,,,ITEM ITEM-00044 has 205 units in WH RM . Available: 167; Reserved: 38.,
ITEM-00263,102,194,27,167,FG,A03-B02-C01,,10/15/2025,0,,,ITEM ITEM-00263 has 194 units in WH FG . Available: 167; Reserved: 27.,
ITEM-00165,201,182,15,167,QA,A02-B02-C02,SN77S3TC7W,9/28/2025,0,,,ITEM ITEM-00165 has 182 units in WH QA . Available: 167; Reserved: 15.,
ITEM-00045,301,182,15,167,STAGING,A03-B05-C01,,9/25/2025,0,,,ITEM ITEM-00045 has 182 units in WH STAGING . Available: 167; Reserved: 15.,
ITEM-00232,201,175,8,167,FG,A05-B03-C02,SNTBTTES3B,10/1/2025,0,,,ITEM ITEM-00232 has 175 units in WH FG . Available: 167; Reserved: 8.,
ITEM-00185,103,200,35,165,QA,A01-B05-C02,,10/1/2025,0,,,ITEM ITEM-00185 has 200 units in WH QA . Available: 165; Reserved: 35.,
ITEM-00115,201,199,34,165,WIP,A01-B02-C01,SNT5494Q5D,10/8/2025,0,,,ITEM ITEM-00115 has 199 units in WH WIP . Available: 165; Reserved: 34.,
ITEM-00051,301,191,26,165,RM,A01-B01-C01,SNWM0DON8B,10/17/2025,0,,,ITEM ITEM-00051 has 191 units in WH RM . Available: 165; Reserved: 26.,
ITEM-00150,103,180,15,165,RM,A05-B03-C02,SN0IT09ZS6,9/7/2025,0,,,ITEM ITEM-00150 has 180 units in WH RM . Available: 165; Reserved: 15.,
ITEM-00261,102,166,1,165,FG,A01-B01-C02,SNC4PIXD0K,10/4/2025,0,,,ITEM ITEM-00261 has 166 units in WH FG . Available: 165; Reserved: 1.,
ITEM-00070,301,194,30,164,WIP,A05-B04-C02,SNEBF1JQXH,9/10/2025,0,,,ITEM ITEM-00070 has 194 units in WH WIP . Available: 164; Reserved: 30.,
ITEM-00048,101,177,13,164,WIP,A05-B04-C01,,9/29/2025,0,,,ITEM ITEM-00048 has 177 units in WH WIP . Available: 164; Reserved: 13.,
ITEM-00225,101,177,13,164,FG,A02-B04-C02,,10/9/2025,0,,,ITEM ITEM-00225 has 177 units in WH FG . Available: 164; Reserved: 13.,
ITEM-00093,201,173,9,164,STAGING,A01-B03-C01,SNTE4YSS8S,10/16/2025,0,,,ITEM ITEM-00093 has 173 units in WH STAGING . Available: 164; Reserved: 9.,
ITEM-00106,103,170,6,164,STAGING,A04-B02-C01,,9/9/2025,0,,,ITEM ITEM-00106 has 170 units in WH STAGING . Available: 164; Reserved: 6.,
ITEM-00270,201,178,15,163,RM,A04-B05-C02,SNPY0M23AE,9/13/2025,0,,,ITEM ITEM-00270 has 178 units in WH RM . Available: 163; Reserved: 15.,
ITEM-00176,103,174,11,163,QA,A04-B05-C02,SNWPWAWQJX,10/14/2025,0,,,ITEM ITEM-00176 has 174 units in WH QA . Available: 163; Reserved: 11.,
ITEM-00149,103,172,9,163,STAGING,A05-B03-C02,SN7EZN24B3,10/2/2025,0,,,ITEM ITEM-00149 has 172 units in WH STAGING . Available: 163; Reserved: 9.,
ITEM-00156,102,172,9,163,WIP,A03-B01-C02,SNC2JPMEVN,9/4/2025,0,,,ITEM ITEM-00156 has 172 units in WH WIP . Available: 163; Reserved: 9.,
ITEM-00118,103,206,44,162,STAGING,A02-B02-C01,SNG0679O0U,10/11/2025,0,,,ITEM ITEM-00118 has 206 units in WH STAGING . Available: 162; Reserved: 44.,
ITEM-00250,102,173,11,162,RM,A05-B02-C01,SN4S44ZLHJ,9/11/2025,0,,,ITEM ITEM-00250 has 173 units in WH RM . Available: 162; Reserved: 11.,
ITEM-00220,201,195,34,161,QA,A01-B02-C01,SN68EGPMLO,9/17/2025,0,,,ITEM ITEM-00220 has 195 units in WH QA . Available: 161; Reserved: 34.,
ITEM-00128,101,161,0,161,QA,A02-B01-C02,,9/7/2025,0,,,ITEM ITEM-00128 has 161 units in WH QA . Available: 161; Reserved: 0.,
ITEM-00124,102,169,8,161,QA,A05-B01-C02,,9/24/2025,0,,,ITEM ITEM-00124 has 169 units in WH QA . Available: 161; Reserved: 8.,
ITEM-00119,201,164,3,161,STAGING,A02-B05-C01,SNKFK3TKY4,9/16/2025,0,,,ITEM ITEM-00119 has 164 units in WH STAGING . Available: 161; Reserved: 3.,
ITEM-00224,201,163,3,160,FG,A01-B04-C02,SNL4KDWXLL,9/21/2025,0,,,ITEM ITEM-00224 has 163 units in WH FG . Available: 160; Reserved: 3.,
ITEM-00025,301,191,32,159,STAGING,A01-B04-C02,SN23DB1BE7,10/9/2025,0,,,ITEM ITEM-00025 has 191 units in WH STAGING . Available: 159; Reserved: 32.,
ITEM-00266,101,169,10,159,STAGING,A03-B03-C01,,9/11/2025,0,,,ITEM ITEM-00266 has 169 units in WH STAGING . Available: 159; Reserved: 10.,
ITEM-00215,301,173,14,159,RM,A01-B04-C01,SNT8KALJPO,9/13/2025,0,,,ITEM ITEM-00215 has 173 units in WH RM . Available: 159; Reserved: 14.,
ITEM-00006,201,170,11,159,WIP,A04-B05-C02,,10/11/2025,0,,,ITEM ITEM-00006 has 170 units in WH WIP . Available: 159; Reserved: 11.,
ITEM-00090,201,194,36,158,WIP,A03-B05-C02,SN94A6NICY,10/6/2025,0,,,ITEM ITEM-00090 has 194 units in WH WIP . Available: 158; Reserved: 36.,
ITEM-00245,201,193,35,158,STAGING,A02-B05-C02,SNDY02RST4,9/16/2025,0,,,ITEM ITEM-00245 has 193 units in WH STAGING . Available: 158; Reserved: 35.,
