requisition_number,requisition_line_id,item,quantity,uom,destination_type_code,need_by_date,organization_id,po_number,so_number,requested_by_user_id,req_status,priority_code,creation_date,route,,Process_Area,Root_Cause_Tag,Context_Summary,SLA_Flag
REQ-0000224,900010,ITEM-00232,34,PK,EXPENSE,2025-07-07,301,,SO-0000083,C96B9E,REQUIRES REAPPROVAL,STD,2025-06-28,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000224 for 34 ITEM-00232s from WH 301 Status: REQUIRES REAPPROVAL. Need-by: 2025-07-07. Delay: no delay. Destination: EXPENSE.,
REQ-0000309,900011,ITEM-00050,13,BX,INVENTORY,2025-07-03,101,,SO-0000053,P9B0XK,REJECTED,URGENT,2025-09-10,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000309 for 13 ITEM-00050s from WH 101 Status: REJECTED. Need-by: 2025-07-03. Delay: no delay. Destination: INVENTORY.,
REQ-0000208,900012,ITEM-00111,122,EA,EXPENSE,2025-10-15,103,PO-0000089,,3WVBAS,IN PROCESS,LOW,2025-10-15,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000208 for 122 ITEM-00111s from WH 103 Status: IN PROCESS. Need-by: 2025-10-15. Delay: no delay. Destination: EXPENSE.,
REQ-0000395,900013,ITEM-00286,18,EA,SHOP FLOOR,2025-10-07,201,PO-0000009,,4AOF5T,REJECTED,LOW,2025-09-19,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000395 for 18 ITEM-00286s from WH 201 Status: REJECTED. Need-by: 2025-10-07. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000312,900014,ITEM-00108,35,CT,EXPENSE,2025-10-04,101,PO-0000155,,2VQGGX,APPROVED,LOW,2025-09-12,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000312 for 35 ITEM-00108s from WH 101 Status: APPROVED. Need-by: 2025-10-04. Delay: no delay. Destination: EXPENSE.,
REQ-0000586,900015,ITEM-00149,72,CT,EXPENSE,2025-08-03,301,,SO-0000079,Y56WUW,REQUIRES REAPPROVAL,STD,2025-08-15,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000586 for 72 ITEM-00149s from WH 301 Status: REQUIRES REAPPROVAL. Need-by: 2025-08-03. Delay: no delay. Destination: EXPENSE.,
REQ-0000656,900016,ITEM-00098,110,EA,EXPENSE,2025-09-22,102,PO-0000225,,KDZNFF,APPROVED,URGENT,2025-09-22,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000656 for 110 ITEM-00098s from WH 102 Status: APPROVED. Need-by: 2025-09-22. Delay: no delay. Destination: EXPENSE.,
REQ-0000149,900017,ITEM-00223,6,PK,EXPENSE,2025-09-21,102,PO-0000017,,D50IMT,IN PROCESS,URGENT,2025-10-09,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000149 for 6 ITEM-00223s from WH 102 Status: IN PROCESS. Need-by: 2025-09-21. Delay: no delay. Destination: EXPENSE.,
REQ-0000647,900018,ITEM-00198,147,BX,INVENTORY,2025-07-11,301,,SO-0000091,O8N129,REQUIRES REAPPROVAL,URGENT,2025-09-21,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000647 for 147 ITEM-00198s from WH 301 Status: REQUIRES REAPPROVAL. Need-by: 2025-07-11. Delay: no delay. Destination: INVENTORY.,
REQ-0000641,900019,ITEM-00254,199,BX,EXPENSE,2025-09-23,101,PO-0000091,,QP67JN,REQUIRES REAPPROVAL,STD,2025-07-18,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000641 for 199 ITEM-00254s from WH 101 Status: REQUIRES REAPPROVAL. Need-by: 2025-09-23. Delay: no delay. Destination: EXPENSE.,
REQ-0000599,900020,ITEM-00257,62,CT,SHOP FLOOR,2025-08-06,102,,SO-0000099,AG1UBL,REQUIRES REAPPROVAL,URGENT,2025-09-24,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000599 for 62 ITEM-00257s from WH 102 Status: REQUIRES REAPPROVAL. Need-by: 2025-08-06. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000221,900021,ITEM-00264,103,CT,INVENTORY,2025-06-29,103,,SO-0000109,R2SBMH,APPROVED,URGENT,2025-06-24,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000221 for 103 ITEM-00264s from WH 103 Status: APPROVED. Need-by: 2025-06-29. Delay: no delay. Destination: INVENTORY.,
REQ-0000185,900022,ITEM-00224,99,CT,INVENTORY,2025-05-28,102,PO-0000202,,WWMF3U,REQUIRES REAPPROVAL,URGENT,2025-08-16,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000185 for 99 ITEM-00224s from WH 102 Status: REQUIRES REAPPROVAL. Need-by: 2025-05-28. Delay: no delay. Destination: INVENTORY.,
REQ-0000545,900023,ITEM-00095,3,BX,SHOP FLOOR,2025-07-29,103,,SO-0000032,G3XOPN,APPROVED,LOW,2025-09-22,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000545 for 3 ITEM-00095s from WH 103 Status: APPROVED. Need-by: 2025-07-29. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000459,900024,ITEM-00091,143,CT,SHOP FLOOR,2025-10-05,301,PO-0000245,,INWMWN,IN PROCESS,URGENT,2025-07-04,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000459 for 143 ITEM-00091s from WH 301 Status: IN PROCESS. Need-by: 2025-10-05. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000368,900025,ITEM-00098,138,BX,EXPENSE,2025-06-30,201,PO-0000104,,LYRVYF,REQUIRES REAPPROVAL,LOW,2025-08-10,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000368 for 138 ITEM-00098s from WH 201 Status: REQUIRES REAPPROVAL. Need-by: 2025-06-30. Delay: no delay. Destination: EXPENSE.,
REQ-0000638,900026,ITEM-00196,74,CT,SHOP FLOOR,2025-10-02,301,,SO-0000045,XQZX9F,REQUIRES REAPPROVAL,URGENT,2025-07-25,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000638 for 74 ITEM-00196s from WH 301 Status: REQUIRES REAPPROVAL. Need-by: 2025-10-02. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000245,900027,ITEM-00052,41,PK,SHOP FLOOR,2025-10-07,103,PO-0000118,,RR8041,REQUIRES REAPPROVAL,STD,2025-09-03,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000245 for 41 ITEM-00052s from WH 103 Status: REQUIRES REAPPROVAL. Need-by: 2025-10-07. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000297,900028,ITEM-00132,47,CT,EXPENSE,2025-09-03,102,PO-0000247,,KX9585,REJECTED,STD,2025-08-27,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000297 for 47 ITEM-00132s from WH 102 Status: REJECTED. Need-by: 2025-09-03. Delay: no delay. Destination: EXPENSE.,
REQ-0000391,900029,ITEM-00033,172,CT,EXPENSE,2025-06-09,102,PO-0000221,,BUNYEK,REJECTED,URGENT,2025-09-19,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000391 for 172 ITEM-00033s from WH 102 Status: REJECTED. Need-by: 2025-06-09. Delay: no delay. Destination: EXPENSE.,
REQ-0000316,900030,ITEM-00100,178,CT,SHOP FLOOR,2025-06-16,301,PO-0000064,,XFY62W,IN PROCESS,URGENT,2025-10-13,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000316 for 178 ITEM-00100s from WH 301 Status: IN PROCESS. Need-by: 2025-06-16. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000341,900031,ITEM-00120,126,CT,SHOP FLOOR,2025-05-20,103,PO-0000006,,VCWM0K,REQUIRES REAPPROVAL,STD,2025-09-03,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000341 for 126 ITEM-00120s from WH 103 Status: REQUIRES REAPPROVAL. Need-by: 2025-05-20. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000470,900032,ITEM-00283,118,CT,SHOP FLOOR,2025-07-10,101,PO-0000029,,LRO04E,REJECTED,LOW,2025-09-11,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000470 for 118 ITEM-00283s from WH 101 Status: REJECTED. Need-by: 2025-07-10. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000107,900033,ITEM-00276,68,EA,EXPENSE,2025-10-01,301,PO-0000118,,RHNYTL,REQUIRES REAPPROVAL,LOW,2025-10-03,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000107 for 68 ITEM-00276s from WH 301 Status: REQUIRES REAPPROVAL. Need-by: 2025-10-01. Delay: no delay. Destination: EXPENSE.,
REQ-0000096,900034,ITEM-00109,139,PK,INVENTORY,2025-10-01,101,PO-0000048,,VXZJGH,IN PROCESS,URGENT,2025-07-02,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000096 for 139 ITEM-00109s from WH 101 Status: IN PROCESS. Need-by: 2025-10-01. Delay: no delay. Destination: INVENTORY.,
REQ-0000314,900035,ITEM-00191,155,EA,EXPENSE,2025-07-21,101,PO-0000149,,63PE8R,REJECTED,STD,2025-08-22,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000314 for 155 ITEM-00191s from WH 101 Status: REJECTED. Need-by: 2025-07-21. Delay: no delay. Destination: EXPENSE.,
REQ-0000347,900036,ITEM-00116,148,PK,SHOP FLOOR,2025-09-11,301,PO-0000120,,64TWYV,REJECTED,LOW,2025-08-04,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000347 for 148 ITEM-00116s from WH 301 Status: REJECTED. Need-by: 2025-09-11. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000650,900037,ITEM-00130,21,CT,EXPENSE,2025-05-09,301,,SO-0000077,YZ5QFQ,APPROVED,URGENT,2025-07-27,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000650 for 21 ITEM-00130s from WH 301 Status: APPROVED. Need-by: 2025-05-09. Delay: no delay. Destination: EXPENSE.,
REQ-0000019,900038,ITEM-00117,69,PK,INVENTORY,2025-05-30,301,PO-0000036,,5TQ0KX,REJECTED,URGENT,2025-06-25,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000019 for 69 ITEM-00117s from WH 301 Status: REJECTED. Need-by: 2025-05-30. Delay: no delay. Destination: INVENTORY.,
REQ-0000461,900039,ITEM-00189,170,EA,INVENTORY,2025-04-25,101,PO-0000173,,2U4K56,IN PROCESS,URGENT,2025-09-13,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000461 for 170 ITEM-00189s from WH 101 Status: IN PROCESS. Need-by: 2025-04-25. Delay: no delay. Destination: INVENTORY.,
REQ-0000675,900040,ITEM-00203,159,PK,EXPENSE,2025-09-25,103,PO-0000256,,8H6IAT,IN PROCESS,LOW,2025-09-14,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000675 for 159 ITEM-00203s from WH 103 Status: IN PROCESS. Need-by: 2025-09-25. Delay: no delay. Destination: EXPENSE.,
REQ-0000084,900041,ITEM-00017,199,BX,SHOP FLOOR,2025-04-28,101,,SO-0000016,NG129F,REJECTED,LOW,2025-09-08,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000084 for 199 ITEM-00017s from WH 101 Status: REJECTED. Need-by: 2025-04-28. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000324,900042,ITEM-00114,162,CT,INVENTORY,2025-10-13,201,PO-0000107,,JVH7UT,REQUIRES REAPPROVAL,URGENT,2025-07-31,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000324 for 162 ITEM-00114s from WH 201 Status: REQUIRES REAPPROVAL. Need-by: 2025-10-13. Delay: no delay. Destination: INVENTORY.,
REQ-0000492,900043,ITEM-00283,154,PK,EXPENSE,2025-05-05,101,PO-0000075,,MGW33Y,REJECTED,LOW,2025-08-17,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000492 for 154 ITEM-00283s from WH 101 Status: REJECTED. Need-by: 2025-05-05. Delay: no delay. Destination: EXPENSE.,
REQ-0000146,900044,ITEM-00210,92,EA,EXPENSE,2025-09-12,103,,SO-0000011,MYMEFQ,REJECTED,URGENT,2025-08-12,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000146 for 92 ITEM-00210s from WH 103 Status: REJECTED. Need-by: 2025-09-12. Delay: no delay. Destination: EXPENSE.,
REQ-0000490,900045,ITEM-00079,102,EA,INVENTORY,2025-05-27,102,PO-0000248,,VF8UJQ,REQUIRES REAPPROVAL,URGENT,2025-09-19,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000490 for 102 ITEM-00079s from WH 102 Status: REQUIRES REAPPROVAL. Need-by: 2025-05-27. Delay: no delay. Destination: INVENTORY.,
REQ-0000336,900046,ITEM-00215,41,PK,SHOP FLOOR,2025-08-25,201,,SO-0000012,BEM891,REQUIRES REAPPROVAL,LOW,2025-09-13,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000336 for 41 ITEM-00215s from WH 201 Status: REQUIRES REAPPROVAL. Need-by: 2025-08-25. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000347,900047,ITEM-00071,109,PK,EXPENSE,2025-09-13,201,PO-0000153,,64TWYV,REJECTED,LOW,2025-08-04,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000347 for 109 ITEM-00071s from WH 201 Status: REJECTED. Need-by: 2025-09-13. Delay: no delay. Destination: EXPENSE.,
REQ-0000496,900048,ITEM-00299,44,PK,SHOP FLOOR,2025-04-24,103,PO-0000132,,8FQ9XQ,APPROVED,URGENT,2025-07-14,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000496 for 44 ITEM-00299s from WH 103 Status: APPROVED. Need-by: 2025-04-24. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000021,900049,ITEM-00266,104,CT,SHOP FLOOR,2025-07-15,101,,SO-0000077,0T375U,REJECTED,STD,2025-09-01,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000021 for 104 ITEM-00266s from WH 101 Status: REJECTED. Need-by: 2025-07-15. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000512,900050,ITEM-00079,126,EA,SHOP FLOOR,2025-08-07,101,,SO-0000093,2EJHZY,REQUIRES REAPPROVAL,LOW,2025-07-09,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000512 for 126 ITEM-00079s from WH 101 Status: REQUIRES REAPPROVAL. Need-by: 2025-08-07. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000389,900051,ITEM-00007,97,BX,INVENTORY,2025-06-16,102,PO-0000218,,Q6SXOV,IN PROCESS,STD,2025-10-12,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000389 for 97 ITEM-00007s from WH 102 Status: IN PROCESS. Need-by: 2025-06-16. Delay: no delay. Destination: INVENTORY.,
REQ-0000342,900052,ITEM-00116,107,EA,INVENTORY,2025-07-26,301,PO-0000194,,9267MJ,IN PROCESS,STD,2025-06-28,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000342 for 107 ITEM-00116s from WH 301 Status: IN PROCESS. Need-by: 2025-07-26. Delay: no delay. Destination: INVENTORY.,
REQ-0000198,900053,ITEM-00259,177,CT,SHOP FLOOR,2025-07-08,103,PO-0000179,,G14KCL,REQUIRES REAPPROVAL,LOW,2025-06-28,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000198 for 177 ITEM-00259s from WH 103 Status: REQUIRES REAPPROVAL. Need-by: 2025-07-08. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000135,900054,ITEM-00215,96,EA,EXPENSE,2025-07-12,301,PO-0000055,,XL3KZU,REQUIRES REAPPROVAL,STD,2025-09-20,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000135 for 96 ITEM-00215s from WH 301 Status: REQUIRES REAPPROVAL. Need-by: 2025-07-12. Delay: no delay. Destination: EXPENSE.,
REQ-0000380,900055,ITEM-00024,145,BX,INVENTORY,2025-06-30,201,,SO-0000041,FSXMFT,REJECTED,URGENT,2025-06-29,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000380 for 145 ITEM-00024s from WH 201 Status: REJECTED. Need-by: 2025-06-30. Delay: no delay. Destination: INVENTORY.,
REQ-0000565,900056,ITEM-00066,84,BX,SHOP FLOOR,2025-07-31,101,,SO-0000005,T98KYE,APPROVED,URGENT,2025-10-10,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000565 for 84 ITEM-00066s from WH 101 Status: APPROVED. Need-by: 2025-07-31. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000267,900057,ITEM-00111,155,CT,INVENTORY,2025-07-27,301,,SO-0000077,4623CM,IN PROCESS,URGENT,2025-07-13,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000267 for 155 ITEM-00111s from WH 301 Status: IN PROCESS. Need-by: 2025-07-27. Delay: no delay. Destination: INVENTORY.,
REQ-0000076,900058,ITEM-00008,150,CT,SHOP FLOOR,2025-09-26,301,,SO-0000007,NH5OW8,REJECTED,URGENT,2025-09-10,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000076 for 150 ITEM-00008s from WH 301 Status: REJECTED. Need-by: 2025-09-26. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000282,900059,ITEM-00293,16,PK,SHOP FLOOR,2025-06-10,102,,SO-0000026,TWPII0,APPROVED,LOW,2025-08-11,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000282 for 16 ITEM-00293s from WH 102 Status: APPROVED. Need-by: 2025-06-10. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000134,900060,ITEM-00172,94,PK,EXPENSE,2025-05-26,102,PO-0000219,,GQH3ZD,REQUIRES REAPPROVAL,LOW,2025-08-18,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000134 for 94 ITEM-00172s from WH 102 Status: REQUIRES REAPPROVAL. Need-by: 2025-05-26. Delay: no delay. Destination: EXPENSE.,
REQ-0000657,900061,ITEM-00185,199,BX,SHOP FLOOR,2025-07-05,301,,SO-0000102,OUIO7Q,APPROVED,LOW,2025-08-09,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000657 for 199 ITEM-00185s from WH 301 Status: APPROVED. Need-by: 2025-07-05. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000129,900062,ITEM-00292,169,CT,EXPENSE,2025-06-12,301,PO-0000079,,5AI1JI,IN PROCESS,URGENT,2025-08-10,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000129 for 169 ITEM-00292s from WH 301 Status: IN PROCESS. Need-by: 2025-06-12. Delay: no delay. Destination: EXPENSE.,
REQ-0000661,900063,ITEM-00078,145,CT,INVENTORY,2025-05-24,102,PO-0000150,,34I99V,APPROVED,STD,2025-08-29,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000661 for 145 ITEM-00078s from WH 102 Status: APPROVED. Need-by: 2025-05-24. Delay: no delay. Destination: INVENTORY.,
REQ-0000011,900064,ITEM-00210,30,BX,EXPENSE,2025-06-07,301,,SO-0000116,9YB23M,IN PROCESS,LOW,2025-10-07,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000011 for 30 ITEM-00210s from WH 301 Status: IN PROCESS. Need-by: 2025-06-07. Delay: no delay. Destination: EXPENSE.,
REQ-0000121,900065,ITEM-00229,142,EA,SHOP FLOOR,2025-05-16,201,,SO-0000080,Q05H23,IN PROCESS,LOW,2025-08-11,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000121 for 142 ITEM-00229s from WH 201 Status: IN PROCESS. Need-by: 2025-05-16. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000342,900066,ITEM-00027,126,BX,EXPENSE,2025-08-23,201,PO-0000037,,9267MJ,IN PROCESS,STD,2025-06-28,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000342 for 126 ITEM-00027s from WH 201 Status: IN PROCESS. Need-by: 2025-08-23. Delay: no delay. Destination: EXPENSE.,
REQ-0000173,900067,ITEM-00201,46,BX,SHOP FLOOR,2025-05-08,102,PO-0000063,,IPVAHL,IN PROCESS,STD,2025-08-25,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000173 for 46 ITEM-00201s from WH 102 Status: IN PROCESS. Need-by: 2025-05-08. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000111,900068,ITEM-00159,42,BX,INVENTORY,2025-09-09,301,PO-0000116,,VKGY77,REJECTED,STD,2025-08-30,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000111 for 42 ITEM-00159s from WH 301 Status: REJECTED. Need-by: 2025-09-09. Delay: no delay. Destination: INVENTORY.,
REQ-0000690,900069,ITEM-00224,21,CT,EXPENSE,2025-10-04,201,PO-0000205,,6BLHV8,APPROVED,URGENT,2025-08-23,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000690 for 21 ITEM-00224s from WH 201 Status: APPROVED. Need-by: 2025-10-04. Delay: no delay. Destination: EXPENSE.,
REQ-0000223,900070,ITEM-00185,33,BX,SHOP FLOOR,2025-06-14,301,PO-0000269,,SOGL2W,IN PROCESS,STD,2025-09-01,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000223 for 33 ITEM-00185s from WH 301 Status: IN PROCESS. Need-by: 2025-06-14. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000390,900071,ITEM-00062,71,PK,EXPENSE,2025-07-04,301,,SO-0000100,W4S5LE,IN PROCESS,LOW,2025-07-09,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000390 for 71 ITEM-00062s from WH 301 Status: IN PROCESS. Need-by: 2025-07-04. Delay: no delay. Destination: EXPENSE.,
REQ-0000600,900072,ITEM-00032,168,CT,INVENTORY,2025-08-26,103,,SO-0000131,SCSVFL,REQUIRES REAPPROVAL,URGENT,2025-10-12,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000600 for 168 ITEM-00032s from WH 103 Status: REQUIRES REAPPROVAL. Need-by: 2025-08-26. Delay: no delay. Destination: INVENTORY.,
REQ-0000482,900073,ITEM-00168,55,BX,EXPENSE,2025-07-13,103,PO-0000271,,3EXNSL,REQUIRES REAPPROVAL,LOW,2025-08-18,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000482 for 55 ITEM-00168s from WH 103 Status: REQUIRES REAPPROVAL. Need-by: 2025-07-13. Delay: no delay. Destination: EXPENSE.,
REQ-0000639,900074,ITEM-00233,143,EA,INVENTORY,2025-05-04,102,,SO-0000049,PZ02SO,APPROVED,LOW,2025-07-09,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000639 for 143 ITEM-00233s from WH 102 Status: APPROVED. Need-by: 2025-05-04. Delay: no delay. Destination: INVENTORY.,
REQ-0000412,900075,ITEM-00111,69,EA,SHOP FLOOR,2025-07-23,102,PO-0000231,,087UK7,APPROVED,URGENT,2025-06-29,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000412 for 69 ITEM-00111s from WH 102 Status: APPROVED. Need-by: 2025-07-23. Delay: no delay. Destination: SHOP FLOOR.,
REQ-0000368,900076,ITEM-00109,141,BX,INVENTORY,2025-05-13,103,,SO-0000042,LYRVYF,REQUIRES REAPPROVAL,LOW,2025-08-10,INTERNAL_SO,0.0,Internal Requisition,,REQ REQ-0000368 for 141 ITEM-00109s from WH 103 Status: REQUIRES REAPPROVAL. Need-by: 2025-05-13. Delay: no delay. Destination: INVENTORY.,
REQ-0000086,900077,ITEM-00194,177,BX,SHOP FLOOR,2025-08-11,201,PO-0000091,,OM513O,REQUIRES REAPPROVAL,LOW,2025-06-25,EXTERNAL_PO,0.0,Internal Requisition,,REQ REQ-0000086 for 177 ITEM-00194s from WH 201 Status: REQUIRES REAPPROVAL. Need-by: 2025-08-11. Delay: no delay. Destination: SHOP FLOOR.,
