po_number,line_location_id,line_num,item,uom,organization_id,ordered_qty,received_qty,promised_date,need_by_date,last_receipt_date,accepted_qty,rejected_qty,buyer_user_id,vendor_name,po_status,creation_date,,Process_Area,Root_Cause_Tag,Context_Summary,SLA_Flag
PO-0000219,600035,9,ITEM-00172,PK,102,94,90,2025-09-12,2025-05-26,2025-09-22,90,0,8KTK5V,Wayne Industrial,REQUIRES REAPPROVAL,2025-09-11,145.0,Procurement,,PO PO-0000219 for 94 ITEM-00172s from Wayne Industrial to WH 102. Status: REQUIRES REAPPROVAL. ETA: 2025-05-26. Delay: 145 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000079,600036,6,ITEM-00292,CT,301,169,169,2025-08-30,2025-06-12,2025-08-21,169,0,U1HHCY,Umbrella,IN PROCESS,2025-08-08,70.0,Procurement,,PO PO-0000079 for 169 ITEM-00292s from Umbrella to WH 301. Status: IN PROCESS. ETA: 2025-06-12. Delay: 70 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000150,600037,6,ITEM-00078,CT,102,145,146,2025-09-06,2025-05-24,2025-08-24,145,1,8XDEHL,Stark Logistics,APPROVED,2025-07-16,92.0,Procurement,,PO PO-0000150 for 145 ITEM-00078s from Stark Logistics to WH 102. Status: APPROVED. ETA: 2025-05-24. Delay: 92 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000037,600038,2,ITEM-00027,BX,201,126,121,2025-07-08,2025-08-23,2025-08-28,121,0,SYF71A,Initech,IN PROCESS,2025-09-28,56.0,Procurement,,PO PO-0000037 for 126 ITEM-00027s from Initech to WH 201. Status: IN PROCESS. ETA: 2025-08-23. Delay: 56 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000063,600039,6,ITEM-00201,BX,102,46,42,2025-09-10,2025-05-08,2025-09-02,42,0,0QEWMX,Initech,IN PROCESS,2025-10-10,163.0,Procurement,,PO PO-0000063 for 46 ITEM-00201s from Initech to WH 102. Status: IN PROCESS. ETA: 2025-05-08. Delay: 163 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000116,600040,2,ITEM-00159,BX,301,42,41,2025-09-21,2025-09-09,2025-09-22,41,0,HSJ0P4,Wayne Industrial,REQUIRES REAPPROVAL,2025-09-05,39.0,Procurement,,PO PO-0000116 for 42 ITEM-00159s from Wayne Industrial to WH 301. Status: REQUIRES REAPPROVAL. ETA: 2025-09-09. Delay: 39 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000205,600041,6,ITEM-00224,CT,201,21,22,2025-09-05,2025-10-04,2025-08-22,21,1,FKR95S,Umbrella,REJECTED,2025-10-13,0.0,Procurement,,PO PO-0000205 for 21 ITEM-00224s from Umbrella to WH 201. Status: REJECTED. ETA: 2025-10-04. Delay: no delay.,
PO-0000269,600042,2,ITEM-00185,BX,301,33,28,2025-09-22,2025-06-14,2025-10-06,28,0,II2F44,Globex Ltd,APPROVED,2025-06-24,126.0,Procurement,,PO PO-0000269 for 33 ITEM-00185s from Globex Ltd to WH 301. Status: APPROVED. ETA: 2025-06-14. Delay: 126 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000271,600043,6,ITEM-00168,BX,103,55,58,2025-08-29,2025-07-13,2025-08-30,55,3,7A8N1S,Stark Logistics,REJECTED,2025-06-23,48.0,Procurement,,PO PO-0000271 for 55 ITEM-00168s from Stark Logistics to WH 103. Status: REJECTED. ETA: 2025-07-13. Delay: 48 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000231,600044,1,ITEM-00111,EA,102,69,73,2025-07-06,2025-07-23,2025-09-18,69,4,SMADE0,Umbrella,IN PROCESS,2025-09-09,57.0,Procurement,,PO PO-0000231 for 69 ITEM-00111s from Umbrella to WH 102. Status: IN PROCESS. ETA: 2025-07-23. Delay: 57 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000091,600045,9,ITEM-00194,BX,201,177,179,2025-07-24,2025-08-11,2025-09-10,177,2,87M07K,Acme Parts,APPROVED,2025-07-14,30.0,Procurement,,PO PO-0000091 for 177 ITEM-00194s from Acme Parts to WH 201. Status: APPROVED. ETA: 2025-08-11. Delay: 30 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000249,600046,9,ITEM-00265,CT,102,140,135,2025-11-08,2025-07-06,2025-10-14,135,0,H3IBHN,Wayne Industrial,REQUIRES REAPPROVAL,2025-09-16,104.0,Procurement,,PO PO-0000249 for 140 ITEM-00265s from Wayne Industrial to WH 102. Status: REQUIRES REAPPROVAL. ETA: 2025-07-06. Delay: 104 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000095,600047,3,ITEM-00235,EA,101,154,156,2025-07-28,2025-06-28,2025-10-10,154,2,ANHZPC,Wayne Industrial,REQUIRES REAPPROVAL,2025-07-11,104.0,Procurement,,PO PO-0000095 for 154 ITEM-00235s from Wayne Industrial to WH 101. Status: REQUIRES REAPPROVAL. ETA: 2025-06-28. Delay: 104 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000263,600048,9,ITEM-00105,PK,103,80,82,2025-08-05,2025-09-01,2025-09-01,80,2,1YJE99,Umbrella,REQUIRES REAPPROVAL,2025-08-05,0.0,Procurement,,PO PO-0000263 for 80 ITEM-00105s from Umbrella to WH 103. Status: REQUIRES REAPPROVAL. ETA: 2025-09-01. Delay: no delay.,
PO-0000132,600049,3,ITEM-00093,EA,102,99,103,2025-07-31,2025-05-15,2025-10-11,99,4,DNAIAO,Stark Logistics,IN PROCESS,2025-07-26,149.0,Procurement,,PO PO-0000132 for 99 ITEM-00093s from Stark Logistics to WH 102. Status: IN PROCESS. ETA: 2025-05-15. Delay: 149 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000240,600050,4,ITEM-00128,EA,201,58,60,2025-07-07,2025-08-30,2025-10-01,58,2,UK07VC,Contoso Supply,REJECTED,2025-08-15,32.0,Procurement,,PO PO-0000240 for 58 ITEM-00128s from Contoso Supply to WH 201. Status: REJECTED. ETA: 2025-08-30. Delay: 32 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000215,600051,6,ITEM-00195,PK,301,28,31,2025-11-07,2025-09-25,2025-10-12,28,3,W46S1C,Globex Ltd,APPROVED,2025-09-23,17.0,Procurement,,PO PO-0000215 for 28 ITEM-00195s from Globex Ltd to WH 301. Status: APPROVED. ETA: 2025-09-25. Delay: 17 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000072,600052,6,ITEM-00085,EA,201,51,54,2025-07-23,2025-08-23,2025-09-23,51,3,2RBQJK,Globex Ltd,REJECTED,2025-06-26,31.0,Procurement,,PO PO-0000072 for 51 ITEM-00085s from Globex Ltd to WH 201. Status: REJECTED. ETA: 2025-08-23. Delay: 31 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000225,600053,5,ITEM-00261,BX,102,168,166,2025-10-01,2025-08-07,2025-08-29,166,0,60SJM6,Initech,IN PROCESS,2025-09-08,72.0,Procurement,,PO PO-0000225 for 168 ITEM-00261s from Initech to WH 102. Status: IN PROCESS. ETA: 2025-08-07. Delay: 72 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000227,600054,4,ITEM-00198,CT,301,195,198,2025-08-30,2025-05-09,2025-08-26,195,3,J18ITE,Acme Parts,REQUIRES REAPPROVAL,2025-09-10,109.0,Procurement,,PO PO-0000227 for 195 ITEM-00198s from Acme Parts to WH 301. Status: REQUIRES REAPPROVAL. ETA: 2025-05-09. Delay: 109 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000265,600055,2,ITEM-00189,CT,101,14,17,2025-07-25,2025-07-19,2025-09-19,14,3,C09OM4,Umbrella,APPROVED,2025-08-12,62.0,Procurement,,PO PO-0000265 for 14 ITEM-00189s from Umbrella to WH 101. Status: APPROVED. ETA: 2025-07-19. Delay: 62 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000165,600056,1,ITEM-00079,BX,102,43,38,2025-07-02,2025-07-13,2025-09-18,38,0,ETFF08,Wayne Industrial,APPROVED,2025-08-30,97.0,Procurement,,PO PO-0000165 for 43 ITEM-00079s from Wayne Industrial to WH 102. Status: APPROVED. ETA: 2025-07-13. Delay: 97 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000087,600057,7,ITEM-00259,PK,301,66,61,2025-08-07,2025-07-01,2025-08-29,61,0,AD9UR6,Stark Logistics,IN PROCESS,2025-08-28,109.0,Procurement,,PO PO-0000087 for 66 ITEM-00259s from Stark Logistics to WH 301. Status: IN PROCESS. ETA: 2025-07-01. Delay: 109 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000006,600058,5,ITEM-00004,CT,101,34,31,2025-08-25,2025-07-19,2025-08-24,31,0,39ZJBK,Globex Ltd,REJECTED,2025-07-01,91.0,Procurement,,PO PO-0000006 for 34 ITEM-00004s from Globex Ltd to WH 101. Status: REJECTED. ETA: 2025-07-19. Delay: 91 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000265,600059,6,ITEM-00092,CT,101,31,31,2025-08-27,2025-09-05,2025-08-21,31,0,C09OM4,Umbrella,APPROVED,2025-08-12,0.0,Procurement,,PO PO-0000265 for 31 ITEM-00092s from Umbrella to WH 101. Status: APPROVED. ETA: 2025-09-05. Delay: no delay.,
PO-0000234,600060,2,ITEM-00181,EA,102,185,182,2025-08-13,2025-06-26,2025-09-08,182,0,KBPDOM,Acme Parts,APPROVED,2025-07-11,114.0,Procurement,,PO PO-0000234 for 185 ITEM-00181s from Acme Parts to WH 102. Status: APPROVED. ETA: 2025-06-26. Delay: 114 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000228,600061,4,ITEM-00270,CT,103,32,29,2025-08-10,2025-09-01,2025-09-22,29,0,U89DLS,Stark Logistics,APPROVED,2025-09-11,47.0,Procurement,,PO PO-0000228 for 32 ITEM-00270s from Stark Logistics to WH 103. Status: APPROVED. ETA: 2025-09-01. Delay: 47 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000026,600062,1,ITEM-00251,EA,103,174,173,2025-09-11,2025-09-07,2025-09-07,173,0,P9NHAB,Umbrella,REQUIRES REAPPROVAL,2025-09-03,41.0,Procurement,,PO PO-0000026 for 174 ITEM-00251s from Umbrella to WH 103. Status: REQUIRES REAPPROVAL. ETA: 2025-09-07. Delay: 41 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000129,600063,2,ITEM-00009,EA,301,72,76,2025-07-22,2025-08-30,2025-08-27,72,4,BQLPF0,Stark Logistics,REJECTED,2025-09-16,0.0,Procurement,,PO PO-0000129 for 72 ITEM-00009s from Stark Logistics to WH 301. Status: REJECTED. ETA: 2025-08-30. Delay: no delay.,
PO-0000150,600064,2,ITEM-00041,PK,101,81,78,2025-07-31,2025-10-04,2025-10-17,78,0,8XDEHL,Stark Logistics,APPROVED,2025-07-16,14.0,Procurement,,PO PO-0000150 for 81 ITEM-00041s from Stark Logistics to WH 101. Status: APPROVED. ETA: 2025-10-04. Delay: 14 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000104,600065,2,ITEM-00098,CT,102,124,124,2025-09-14,2025-08-11,2025-10-13,124,0,8TSF53,Globex Ltd,REJECTED,2025-07-13,63.0,Procurement,,PO PO-0000104 for 124 ITEM-00098s from Globex Ltd to WH 102. Status: REJECTED. ETA: 2025-08-11. Delay: 63 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000024,600066,8,ITEM-00188,EA,102,18,20,2025-08-15,2025-08-25,2025-10-09,18,2,5F6BGR,Wayne Industrial,APPROVED,2025-09-17,45.0,Procurement,,PO PO-0000024 for 18 ITEM-00188s from Wayne Industrial to WH 102. Status: APPROVED. ETA: 2025-08-25. Delay: 45 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000042,600067,4,ITEM-00176,CT,101,170,174,2025-08-02,2025-08-27,2025-09-17,170,4,FMDBIE,Contoso Supply,REQUIRES REAPPROVAL,2025-07-02,21.0,Procurement,,PO PO-0000042 for 170 ITEM-00176s from Contoso Supply to WH 101. Status: REQUIRES REAPPROVAL. ETA: 2025-08-27. Delay: 21 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000137,600068,2,ITEM-00054,EA,301,40,42,2025-08-31,2025-10-06,2025-09-26,40,2,F55TBM,Initech,REQUIRES REAPPROVAL,2025-07-24,0.0,Procurement,,PO PO-0000137 for 40 ITEM-00054s from Initech to WH 301. Status: REQUIRES REAPPROVAL. ETA: 2025-10-06. Delay: no delay.,
PO-0000095,600069,6,ITEM-00008,BX,102,85,89,2025-07-07,2025-04-27,2025-09-04,85,4,ANHZPC,Wayne Industrial,REQUIRES REAPPROVAL,2025-07-11,130.0,Procurement,,PO PO-0000095 for 85 ITEM-00008s from Wayne Industrial to WH 102. Status: REQUIRES REAPPROVAL. ETA: 2025-04-27. Delay: 130 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000016,600070,7,ITEM-00087,PK,103,144,148,2025-10-25,2025-06-20,2025-10-17,144,4,0LGU2V,Stark Logistics,REJECTED,2025-09-06,119.0,Procurement,,PO PO-0000016 for 144 ITEM-00087s from Stark Logistics to WH 103. Status: REJECTED. ETA: 2025-06-20. Delay: 119 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000047,600071,4,ITEM-00118,PK,103,84,80,2025-09-20,2025-05-02,2025-09-20,80,0,BT6V4H,Contoso Supply,REJECTED,2025-06-28,169.0,Procurement,,PO PO-0000047 for 84 ITEM-00118s from Contoso Supply to WH 103. Status: REJECTED. ETA: 2025-05-02. Delay: 169 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000111,600072,8,ITEM-00186,PK,102,195,191,2025-09-23,2025-04-22,2025-10-13,191,0,WXFF4I,Stark Logistics,REQUIRES REAPPROVAL,2025-08-24,179.0,Procurement,,PO PO-0000111 for 195 ITEM-00186s from Stark Logistics to WH 102. Status: REQUIRES REAPPROVAL. ETA: 2025-04-22. Delay: 179 days. SLA: SLA_BREACH.,SLA_BREACH
PO-0000073,600073,7,ITEM-00179,BX,103,109,109,2025-07-07,2025-09-13,2025-08-29,109,0,01YPZF,Acme Parts,APPROVED,2025-07-24,0.0,Procurement,,PO PO-0000073 for 109 ITEM-00179s from Acme Parts to WH 103. Status: APPROVED. ETA: 2025-09-13. Delay: no delay.,
PO-0000069,600074,8,ITEM-00280,BX,102,115,118,2025-10-18,2025-09-12,2025-09-11,115,3,RBLY88,Globex Ltd,APPROVED,2025-06-30,0.0,Procurement,,PO PO-0000069 for 115 ITEM-00280s from Globex Ltd to WH 102. Status: APPROVED. ETA: 2025-09-12. Delay: no delay.,
PO-0000207,600075,3,ITEM-00103,EA,101,136,131,2025-08-05,2025-09-27,2025-10-01,131,0,8FS6VJ,Globex Ltd,IN PROCESS,2025-09-18,21.0,Procurement,,PO PO-0000207 for 136 ITEM-00103s from Globex Ltd to WH 101. Status: IN PROCESS. ETA: 2025-09-27. Delay: 21 days. SLA: SLA_BREACH.,SLA_BREACH
