lpn_number,delivery_number,delivery_detail_id,serial_number,asset_tag,requested_by_user_id,creation_date,,Process_Area,Root_Cause_Tag,Context_Summary,SLA_Flag
LPN-0000214,DEL-000214,700004,SN9BB6A3DJ,AST-4X5PYN,9BZZ99,2025-08-18,0.0,Outbound Logistics,,SERIAL SN9BB6A3DJ in LPN LPN-0000214 (delivery DEL-000214) Created: 2025-08-18. Asset tag present.,
LPN-0000214,DEL-000214,700004,SNM3VQKB66,AST-963O2R,9BZZ99,2025-08-18,0.0,Outbound Logistics,,SERIAL SNM3VQKB66 in LPN LPN-0000214 (delivery DEL-000214) Created: 2025-08-18. Asset tag present.,
LPN-0000085,DEL-000031,700005,SNS9YFI5PY,AST-M793OQ,DHAD0A,2025-09-08,0.0,Outbound Logistics,,SERIAL SNS9YFI5PY in LPN LPN-0000085 (delivery DEL-000031) Created: 2025-09-08. Asset tag present.,
LPN-0000085,DEL-000031,700005,SNOGU3FOY3,AST-R9CS87,DHAD0A,2025-09-08,0.0,Outbound Logistics,,SERIAL SNOGU3FOY3 in LPN LPN-0000085 (delivery DEL-000031) Created: 2025-09-08. Asset tag present.,
LPN-0000085,DEL-000031,700005,SNGWBGL9I9,AST-GVAC3A,DHAD0A,2025-09-08,0.0,Outbound Logistics,,SERIAL SNGWBGL9I9 in LPN LPN-0000085 (delivery DEL-000031) Created: 2025-09-08. Asset tag present.,
LPN-0000247,DEL-000210,700006,SNKERP8LBI,AST-FU9FZJ,UO4HHF,2025-10-02,0.0,Outbound Logistics,,SERIAL SNKERP8LBI in LPN LPN-0000247 (delivery DEL-000210) Created: 2025-10-02. Asset tag present.,
LPN-0000011,DEL-000128,700007,SNVO7DU11D,AST-05FP0A,Y5MN9Z,2025-10-15,0.0,Outbound Logistics,,SERIAL SNVO7DU11D in LPN LPN-0000011 (delivery DEL-000128) Created: 2025-10-15. Asset tag present.,
LPN-0000011,DEL-000128,700007,SNSK5PW9UI,AST-X5VCSB,Y5MN9Z,2025-10-15,0.0,Outbound Logistics,,SERIAL SNSK5PW9UI in LPN LPN-0000011 (delivery DEL-000128) Created: 2025-10-15. Asset tag present.,
LPN-0000011,DEL-000128,700007,SNOCYMF3YT,AST-W0815R,Y5MN9Z,2025-10-15,0.0,Outbound Logistics,,SERIAL SNOCYMF3YT in LPN LPN-0000011 (delivery DEL-000128) Created: 2025-10-15. Asset tag present.,
LPN-0000011,DEL-000128,700007,SNS7ORWHWM,AST-95BVBB,Y5MN9Z,2025-10-15,0.0,Outbound Logistics,,SERIAL SNS7ORWHWM in LPN LPN-0000011 (delivery DEL-000128) Created: 2025-10-15. Asset tag present.,
LPN-0000212,DEL-000189,700008,SNDCWAOYDR,AST-9B4MW4,TRGTUR,2025-08-15,0.0,Outbound Logistics,,SERIAL SNDCWAOYDR in LPN LPN-0000212 (delivery DEL-000189) Created: 2025-08-15. Asset tag present.,
LPN-0000212,DEL-000189,700008,SN8EQDSYMW,AST-XA037Q,TRGTUR,2025-08-15,0.0,Outbound Logistics,,SERIAL SN8EQDSYMW in LPN LPN-0000212 (delivery DEL-000189) Created: 2025-08-15. Asset tag present.,
LPN-0000212,DEL-000189,700008,SNKCBMZWIB,AST-GNZVTI,TRGTUR,2025-08-15,0.0,Outbound Logistics,,SERIAL SNKCBMZWIB in LPN LPN-0000212 (delivery DEL-000189) Created: 2025-08-15. Asset tag present.,
LPN-0000212,DEL-000189,700008,SN8MR8P2CA,AST-UD29OZ,TRGTUR,2025-08-15,0.0,Outbound Logistics,,SERIAL SN8MR8P2CA in LPN LPN-0000212 (delivery DEL-000189) Created: 2025-08-15. Asset tag present.,
LPN-0000007,DEL-000042,700009,SNQY2QLWFV,AST-HKCI5Z,OYDAPL,2025-10-12,0.0,Outbound Logistics,,SERIAL SNQY2QLWFV in LPN LPN-0000007 (delivery DEL-000042) Created: 2025-10-12. Asset tag present.,
LPN-0000007,DEL-000042,700009,SNAPG7OH4Y,AST-R5YZKG,OYDAPL,2025-10-12,0.0,Outbound Logistics,,SERIAL SNAPG7OH4Y in LPN LPN-0000007 (delivery DEL-000042) Created: 2025-10-12. Asset tag present.,
LPN-0000095,DEL-000142,700010,SN126V2G30,AST-SU2VPZ,UCMSG5,2025-09-30,0.0,Outbound Logistics,,SERIAL SN126V2G30 in LPN LPN-0000095 (delivery DEL-000142) Created: 2025-09-30. Asset tag present.,
LPN-0000095,DEL-000142,700010,SNLUR84TU0,AST-MRUTUK,UCMSG5,2025-09-30,0.0,Outbound Logistics,,SERIAL SNLUR84TU0 in LPN LPN-0000095 (delivery DEL-000142) Created: 2025-09-30. Asset tag present.,
LPN-0000205,DEL-000154,700011,SNB0DY7NJW,AST-RROHF6,LAIKXA,2025-07-11,0.0,Outbound Logistics,,SERIAL SNB0DY7NJW in LPN LPN-0000205 (delivery DEL-000154) Created: 2025-07-11. Asset tag present.,
LPN-0000110,DEL-000117,700012,SNJAXRQ8J5,AST-7NG9V2,XZIK19,2025-09-22,0.0,Outbound Logistics,,SERIAL SNJAXRQ8J5 in LPN LPN-0000110 (delivery DEL-000117) Created: 2025-09-22. Asset tag present.,
LPN-0000110,DEL-000117,700012,SNQIPFXCMD,AST-5SHM4P,XZIK19,2025-09-22,0.0,Outbound Logistics,,SERIAL SNQIPFXCMD in LPN LPN-0000110 (delivery DEL-000117) Created: 2025-09-22. Asset tag present.,
LPN-0000053,DEL-000026,700013,SN8O2EZ8GG,AST-HS2486,MEZ4E3,2025-09-15,0.0,Outbound Logistics,,SERIAL SN8O2EZ8GG in LPN LPN-0000053 (delivery DEL-000026) Created: 2025-09-15. Asset tag present.,
LPN-0000117,DEL-000195,700014,SNNZ359UYG,AST-M1UT1M,TVTV4A,2025-09-13,0.0,Outbound Logistics,,SERIAL SNNZ359UYG in LPN LPN-0000117 (delivery DEL-000195) Created: 2025-09-13. Asset tag present.,
LPN-0000033,DEL-000163,700015,SNM6O74WJL,AST-6EOZ9E,1ZG4GL,2025-09-29,0.0,Outbound Logistics,,SERIAL SNM6O74WJL in LPN LPN-0000033 (delivery DEL-000163) Created: 2025-09-29. Asset tag present.,
LPN-0000033,DEL-000163,700015,SN80YLX1AL,AST-UNXR3E,1ZG4GL,2025-09-29,0.0,Outbound Logistics,,SERIAL SN80YLX1AL in LPN LPN-0000033 (delivery DEL-000163) Created: 2025-09-29. Asset tag present.,
LPN-0000033,DEL-000163,700015,SNO5SUI11T,AST-OU4KD6,1ZG4GL,2025-09-29,0.0,Outbound Logistics,,SERIAL SNO5SUI11T in LPN LPN-0000033 (delivery DEL-000163) Created: 2025-09-29. Asset tag present.,
LPN-0000033,DEL-000163,700015,SNHBCCHMO9,AST-AB7BRH,1ZG4GL,2025-09-29,0.0,Outbound Logistics,,SERIAL SNHBCCHMO9 in LPN LPN-0000033 (delivery DEL-000163) Created: 2025-09-29. Asset tag present.,
LPN-0000033,DEL-000209,700016,SNEY08ULZ5,AST-3PFOQT,1ZG4GL,2025-08-12,0.0,Outbound Logistics,,SERIAL SNEY08ULZ5 in LPN LPN-0000033 (delivery DEL-000209) Created: 2025-08-12. Asset tag present.,
LPN-0000081,DEL-000076,700017,SN2VI8MBK9,AST-YZU224,YP1H0V,2025-09-24,0.0,Outbound Logistics,,SERIAL SN2VI8MBK9 in LPN LPN-0000081 (delivery DEL-000076) Created: 2025-09-24. Asset tag present.,
LPN-0000081,DEL-000076,700017,SNHKJJP56U,AST-6WVFHX,YP1H0V,2025-09-24,0.0,Outbound Logistics,,SERIAL SNHKJJP56U in LPN LPN-0000081 (delivery DEL-000076) Created: 2025-09-24. Asset tag present.,
LPN-0000081,DEL-000076,700017,SN4K7PM397,AST-6N0I07,YP1H0V,2025-09-24,0.0,Outbound Logistics,,SERIAL SN4K7PM397 in LPN LPN-0000081 (delivery DEL-000076) Created: 2025-09-24. Asset tag present.,
LPN-0000081,DEL-000076,700017,SN2M95U0QC,AST-NXECLZ,YP1H0V,2025-09-24,0.0,Outbound Logistics,,SERIAL SN2M95U0QC in LPN LPN-0000081 (delivery DEL-000076) Created: 2025-09-24. Asset tag present.,
LPN-0000163,DEL-000071,700018,SNWVZHL53H,AST-QYDM5Q,3IMMZT,2025-10-03,0.0,Outbound Logistics,,SERIAL SNWVZHL53H in LPN LPN-0000163 (delivery DEL-000071) Created: 2025-10-03. Asset tag present.,
LPN-0000096,DEL-000184,700019,SNY0XX1E8G,AST-QA9MT6,4NK34O,2025-08-21,0.0,Outbound Logistics,,SERIAL SNY0XX1E8G in LPN LPN-0000096 (delivery DEL-000184) Created: 2025-08-21. Asset tag present.,
LPN-0000096,DEL-000184,700019,SN7JNJ7YNW,AST-XVB21K,4NK34O,2025-08-21,0.0,Outbound Logistics,,SERIAL SN7JNJ7YNW in LPN LPN-0000096 (delivery DEL-000184) Created: 2025-08-21. Asset tag present.,
LPN-0000096,DEL-000184,700019,SNG5I5H1M7,AST-WAH8KB,4NK34O,2025-08-21,0.0,Outbound Logistics,,SERIAL SNG5I5H1M7 in LPN LPN-0000096 (delivery DEL-000184) Created: 2025-08-21. Asset tag present.,
LPN-0000096,DEL-000184,700019,SNYAV8J044,AST-PKRROR,4NK34O,2025-08-21,0.0,Outbound Logistics,,SERIAL SNYAV8J044 in LPN LPN-0000096 (delivery DEL-000184) Created: 2025-08-21. Asset tag present.,
LPN-0000096,DEL-000184,700019,SN7COO40EG,AST-8J69GI,4NK34O,2025-08-21,0.0,Outbound Logistics,,SERIAL SN7COO40EG in LPN LPN-0000096 (delivery DEL-000184) Created: 2025-08-21. Asset tag present.,
LPN-0000091,DEL-000064,700020,SNR1W0DXSD,AST-RCFIIQ,6KMZBI,2025-10-10,0.0,Outbound Logistics,,SERIAL SNR1W0DXSD in LPN LPN-0000091 (delivery DEL-000064) Created: 2025-10-10. Asset tag present.,
LPN-0000091,DEL-000064,700020,SNCQ539DDU,AST-CZ7TFU,6KMZBI,2025-10-10,0.0,Outbound Logistics,,SERIAL SNCQ539DDU in LPN LPN-0000091 (delivery DEL-000064) Created: 2025-10-10. Asset tag present.,
LPN-0000124,DEL-000057,700021,SNAV8RKLDW,AST-D9HW4D,HKDM72,2025-10-10,0.0,Outbound Logistics,,SERIAL SNAV8RKLDW in LPN LPN-0000124 (delivery DEL-000057) Created: 2025-10-10. Asset tag present.,
LPN-0000124,DEL-000057,700021,SNEM95X85E,AST-EMES9B,HKDM72,2025-10-10,0.0,Outbound Logistics,,SERIAL SNEM95X85E in LPN LPN-0000124 (delivery DEL-000057) Created: 2025-10-10. Asset tag present.,
LPN-0000124,DEL-000057,700021,SNUWCQ9B2D,AST-QBGC89,HKDM72,2025-10-10,0.0,Outbound Logistics,,SERIAL SNUWCQ9B2D in LPN LPN-0000124 (delivery DEL-000057) Created: 2025-10-10. Asset tag present.,
LPN-0000190,DEL-000096,700022,SN62O6RO85,AST-SFFD3F,VQDHYW,2025-09-29,0.0,Outbound Logistics,,SERIAL SN62O6RO85 in LPN LPN-0000190 (delivery DEL-000096) Created: 2025-09-29. Asset tag present.,
LPN-0000190,DEL-000096,700022,SNQM5ZKSHZ,AST-IY01A6,VQDHYW,2025-09-29,0.0,Outbound Logistics,,SERIAL SNQM5ZKSHZ in LPN LPN-0000190 (delivery DEL-000096) Created: 2025-09-29. Asset tag present.,
LPN-0000190,DEL-000096,700022,SN4ZKIWCHH,AST-9ISEP1,VQDHYW,2025-09-29,0.0,Outbound Logistics,,SERIAL SN4ZKIWCHH in LPN LPN-0000190 (delivery DEL-000096) Created: 2025-09-29. Asset tag present.,
LPN-0000042,DEL-000074,700023,SN8W5214LW,AST-RFLZ3P,CUCVCE,2025-09-13,0.0,Outbound Logistics,,SERIAL SN8W5214LW in LPN LPN-0000042 (delivery DEL-000074) Created: 2025-09-13. Asset tag present.,
LPN-0000015,DEL-000067,700024,SNZ8U1812N,AST-U4JM96,QVUQU3,2025-10-04,0.0,Outbound Logistics,,SERIAL SNZ8U1812N in LPN LPN-0000015 (delivery DEL-000067) Created: 2025-10-04. Asset tag present.,
LPN-0000173,DEL-000007,700025,SNIOWVWXD5,AST-Y2U754,1FU88B,2025-09-20,0.0,Outbound Logistics,,SERIAL SNIOWVWXD5 in LPN LPN-0000173 (delivery DEL-000007) Created: 2025-09-20. Asset tag present.,
LPN-0000173,DEL-000007,700025,SN040EQW4C,AST-ZR2CIE,1FU88B,2025-09-20,0.0,Outbound Logistics,,SERIAL SN040EQW4C in LPN LPN-0000173 (delivery DEL-000007) Created: 2025-09-20. Asset tag present.,
LPN-0000114,DEL-000086,700026,SNFUWP6G9G,AST-QVN5PO,YVJV7Y,2025-10-07,0.0,Outbound Logistics,,SERIAL SNFUWP6G9G in LPN LPN-0000114 (delivery DEL-000086) Created: 2025-10-07. Asset tag present.,
LPN-0000114,DEL-000086,700026,SNTHKQE1XY,AST-ZXES5J,YVJV7Y,2025-10-07,0.0,Outbound Logistics,,SERIAL SNTHKQE1XY in LPN LPN-0000114 (delivery DEL-000086) Created: 2025-10-07. Asset tag present.,
LPN-0000114,DEL-000086,700026,SNFVSWPP25,AST-N1DBN1,YVJV7Y,2025-10-07,0.0,Outbound Logistics,,SERIAL SNFVSWPP25 in LPN LPN-0000114 (delivery DEL-000086) Created: 2025-10-07. Asset tag present.,
LPN-0000229,DEL-000227,700027,SNC0XIH7TM,AST-9T9SEP,WHSNV5,2025-08-13,0.0,Outbound Logistics,,SERIAL SNC0XIH7TM in LPN LPN-0000229 (delivery DEL-000227) Created: 2025-08-13. Asset tag present.,
LPN-0000229,DEL-000227,700027,SNT1GTWR6K,AST-MRJO1G,WHSNV5,2025-08-13,0.0,Outbound Logistics,,SERIAL SNT1GTWR6K in LPN LPN-0000229 (delivery DEL-000227) Created: 2025-08-13. Asset tag present.,
LPN-0000229,DEL-000227,700027,SNZLTVNFL7,AST-BONRL7,WHSNV5,2025-08-13,0.0,Outbound Logistics,,SERIAL SNZLTVNFL7 in LPN LPN-0000229 (delivery DEL-000227) Created: 2025-08-13. Asset tag present.,
LPN-0000229,DEL-000227,700027,SNBW6LYCLT,AST-T2IYAM,WHSNV5,2025-08-13,0.0,Outbound Logistics,,SERIAL SNBW6LYCLT in LPN LPN-0000229 (delivery DEL-000227) Created: 2025-08-13. Asset tag present.,
LPN-0000004,DEL-000125,700028,SN6KA7LP6N,AST-F75PLI,L8FY9J,2025-09-28,0.0,Outbound Logistics,,SERIAL SN6KA7LP6N in LPN LPN-0000004 (delivery DEL-000125) Created: 2025-09-28. Asset tag present.,
LPN-0000004,DEL-000125,700028,SNU9TYNHBB,AST-W29LTC,L8FY9J,2025-09-28,0.0,Outbound Logistics,,SERIAL SNU9TYNHBB in LPN LPN-0000004 (delivery DEL-000125) Created: 2025-09-28. Asset tag present.,
LPN-0000193,DEL-000125,700029,SNG7ENEZQC,AST-R8JVOL,J1K795,2025-10-12,0.0,Outbound Logistics,,SERIAL SNG7ENEZQC in LPN LPN-0000193 (delivery DEL-000125) Created: 2025-10-12. Asset tag present.,
LPN-0000193,DEL-000125,700029,SNJP5ZMGAN,AST-6HAH6S,J1K795,2025-10-12,0.0,Outbound Logistics,,SERIAL SNJP5ZMGAN in LPN LPN-0000193 (delivery DEL-000125) Created: 2025-10-12. Asset tag present.,
LPN-0000193,DEL-000125,700029,SNZXW1AEDD,AST-RHEAAN,J1K795,2025-10-12,0.0,Outbound Logistics,,SERIAL SNZXW1AEDD in LPN LPN-0000193 (delivery DEL-000125) Created: 2025-10-12. Asset tag present.,
LPN-0000071,DEL-000126,700030,SNEOYRLAOS,AST-2VQ0E6,47R15X,2025-08-11,0.0,Outbound Logistics,,SERIAL SNEOYRLAOS in LPN LPN-0000071 (delivery DEL-000126) Created: 2025-08-11. Asset tag present.,
LPN-0000071,DEL-000126,700030,SNEQ3W16AD,AST-GB76Z7,47R15X,2025-08-11,0.0,Outbound Logistics,,SERIAL SNEQ3W16AD in LPN LPN-0000071 (delivery DEL-000126) Created: 2025-08-11. Asset tag present.,
LPN-0000071,DEL-000126,700030,SNGVXDEQ3X,AST-TBCCJM,47R15X,2025-08-11,0.0,Outbound Logistics,,SERIAL SNGVXDEQ3X in LPN LPN-0000071 (delivery DEL-000126) Created: 2025-08-11. Asset tag present.,
LPN-0000157,DEL-000002,700031,SNBFKJACMK,AST-HYF6CA,41AWNJ,2025-08-31,0.0,Outbound Logistics,,SERIAL SNBFKJACMK in LPN LPN-0000157 (delivery DEL-000002) Created: 2025-08-31. Asset tag present.,
LPN-0000096,DEL-000218,700032,SN7PRF0V7I,AST-1BGEBV,4NK34O,2025-09-24,0.0,Outbound Logistics,,SERIAL SN7PRF0V7I in LPN LPN-0000096 (delivery DEL-000218) Created: 2025-09-24. Asset tag present.,
LPN-0000006,DEL-000210,700033,SNPDI6QHP4,AST-J2VO6K,LQXZ2N,2025-10-13,0.0,Outbound Logistics,,SERIAL SNPDI6QHP4 in LPN LPN-0000006 (delivery DEL-000210) Created: 2025-10-13. Asset tag present.,
LPN-0000006,DEL-000210,700033,SN5992K8N1,AST-P93VUA,LQXZ2N,2025-10-13,0.0,Outbound Logistics,,SERIAL SN5992K8N1 in LPN LPN-0000006 (delivery DEL-000210) Created: 2025-10-13. Asset tag present.,
LPN-0000006,DEL-000210,700033,SN5CQF64KQ,AST-QUM9JO,LQXZ2N,2025-10-13,0.0,Outbound Logistics,,SERIAL SN5CQF64KQ in LPN LPN-0000006 (delivery DEL-000210) Created: 2025-10-13. Asset tag present.,
LPN-0000006,DEL-000210,700033,SNHKJAFCJ0,AST-E3XN7Y,LQXZ2N,2025-10-13,0.0,Outbound Logistics,,SERIAL SNHKJAFCJ0 in LPN LPN-0000006 (delivery DEL-000210) Created: 2025-10-13. Asset tag present.,
LPN-0000113,DEL-000116,700034,SNM885DJVX,AST-DI0DPK,X62MAB,2025-10-11,0.0,Outbound Logistics,,SERIAL SNM885DJVX in LPN LPN-0000113 (delivery DEL-000116) Created: 2025-10-11. Asset tag present.,
LPN-0000222,DEL-000053,700035,SNF55Q13L0,AST-Y19DGD,Z5P1K9,2025-08-12,0.0,Outbound Logistics,,SERIAL SNF55Q13L0 in LPN LPN-0000222 (delivery DEL-000053) Created: 2025-08-12. Asset tag present.,
LPN-0000222,DEL-000053,700035,SNN1G4PZ0G,AST-BJJTM3,Z5P1K9,2025-08-12,0.0,Outbound Logistics,,SERIAL SNN1G4PZ0G in LPN LPN-0000222 (delivery DEL-000053) Created: 2025-08-12. Asset tag present.,
LPN-0000222,DEL-000053,700035,SN4O7M88QD,AST-7D9P3V,Z5P1K9,2025-08-12,0.0,Outbound Logistics,,SERIAL SN4O7M88QD in LPN LPN-0000222 (delivery DEL-000053) Created: 2025-08-12. Asset tag present.,
LPN-0000220,DEL-000142,700036,SNJRBUC5GJ,AST-OGNDU5,GN7MWQ,2025-08-14,0.0,Outbound Logistics,,SERIAL SNJRBUC5GJ in LPN LPN-0000220 (delivery DEL-000142) Created: 2025-08-14. Asset tag present.,
LPN-0000220,DEL-000142,700036,SNCW98X9HV,AST-AANL8A,GN7MWQ,2025-08-14,0.0,Outbound Logistics,,SERIAL SNCW98X9HV in LPN LPN-0000220 (delivery DEL-000142) Created: 2025-08-14. Asset tag present.,
LPN-0000113,DEL-000101,700037,SNZMWIW3BW,AST-AIFXYR,X62MAB,2025-08-16,0.0,Outbound Logistics,,SERIAL SNZMWIW3BW in LPN LPN-0000113 (delivery DEL-000101) Created: 2025-08-16. Asset tag present.,
LPN-0000113,DEL-000101,700037,SNSYQBJ8VI,AST-T8YYFB,X62MAB,2025-08-16,0.0,Outbound Logistics,,SERIAL SNSYQBJ8VI in LPN LPN-0000113 (delivery DEL-000101) Created: 2025-08-16. Asset tag present.,
LPN-0000113,DEL-000101,700037,SNXTNL9GBF,AST-C4ZSGH,X62MAB,2025-08-16,0.0,Outbound Logistics,,SERIAL SNXTNL9GBF in LPN LPN-0000113 (delivery DEL-000101) Created: 2025-08-16. Asset tag present.,
LPN-0000224,DEL-000112,700038,SNILSW94GO,AST-T6F0VE,3UIXUV,2025-09-12,0.0,Outbound Logistics,,SERIAL SNILSW94GO in LPN LPN-0000224 (delivery DEL-000112) Created: 2025-09-12. Asset tag present.,
LPN-0000224,DEL-000112,700038,SNG3B54G1E,AST-VQSLK3,3UIXUV,2025-09-12,0.0,Outbound Logistics,,SERIAL SNG3B54G1E in LPN LPN-0000224 (delivery DEL-000112) Created: 2025-09-12. Asset tag present.,
LPN-0000085,DEL-000008,700039,SN1EPSE660,AST-GVM311,DHAD0A,2025-08-23,0.0,Outbound Logistics,,SERIAL SN1EPSE660 in LPN LPN-0000085 (delivery DEL-000008) Created: 2025-08-23. Asset tag present.,
LPN-0000085,DEL-000008,700039,SNOMLHFEL5,AST-VRM3H2,DHAD0A,2025-08-23,0.0,Outbound Logistics,,SERIAL SNOMLHFEL5 in LPN LPN-0000085 (delivery DEL-000008) Created: 2025-08-23. Asset tag present.,
LPN-0000085,DEL-000008,700039,SN75MSRGL7,AST-26V33S,DHAD0A,2025-08-23,0.0,Outbound Logistics,,SERIAL SN75MSRGL7 in LPN LPN-0000085 (delivery DEL-000008) Created: 2025-08-23. Asset tag present.,
LPN-0000085,DEL-000008,700039,SNJZBVJMIM,AST-RM1KWL,DHAD0A,2025-08-23,0.0,Outbound Logistics,,SERIAL SNJZBVJMIM in LPN LPN-0000085 (delivery DEL-000008) Created: 2025-08-23. Asset tag present.,
LPN-0000031,DEL-000108,700040,SNTROYNNCP,AST-52Y54Z,78RY2F,2025-10-16,0.0,Outbound Logistics,,SERIAL SNTROYNNCP in LPN LPN-0000031 (delivery DEL-000108) Created: 2025-10-16. Asset tag present.,
LPN-0000031,DEL-000108,700040,SN11URYWOV,AST-N44NNM,78RY2F,2025-10-16,0.0,Outbound Logistics,,SERIAL SN11URYWOV in LPN LPN-0000031 (delivery DEL-000108) Created: 2025-10-16. Asset tag present.,
LPN-0000031,DEL-000108,700040,SNKSMFBK8B,AST-TJLK4L,78RY2F,2025-10-16,0.0,Outbound Logistics,,SERIAL SNKSMFBK8B in LPN LPN-0000031 (delivery DEL-000108) Created: 2025-10-16. Asset tag present.,
LPN-0000031,DEL-000108,700040,SNIRZ16591,AST-1HKFSO,78RY2F,2025-10-16,0.0,Outbound Logistics,,SERIAL SNIRZ16591 in LPN LPN-0000031 (delivery DEL-000108) Created: 2025-10-16. Asset tag present.,
LPN-0000231,DEL-000142,700041,SN1VMA4WKU,AST-GLI32C,GJ9J1T,2025-07-30,0.0,Outbound Logistics,,SERIAL SN1VMA4WKU in LPN LPN-0000231 (delivery DEL-000142) Created: 2025-07-30. Asset tag present.,
LPN-0000231,DEL-000142,700041,SNSCYK6UFL,AST-Q01M1U,GJ9J1T,2025-07-30,0.0,Outbound Logistics,,SERIAL SNSCYK6UFL in LPN LPN-0000231 (delivery DEL-000142) Created: 2025-07-30. Asset tag present.,
LPN-0000116,DEL-000173,700042,SN2Y4H6D7G,AST-106LRS,V2GQPO,2025-09-13,0.0,Outbound Logistics,,SERIAL SN2Y4H6D7G in LPN LPN-0000116 (delivery DEL-000173) Created: 2025-09-13. Asset tag present.,
LPN-0000116,DEL-000173,700042,SN57R7RFN7,AST-090DJO,V2GQPO,2025-09-13,0.0,Outbound Logistics,,SERIAL SN57R7RFN7 in LPN LPN-0000116 (delivery DEL-000173) Created: 2025-09-13. Asset tag present.,
LPN-0000025,DEL-000209,700043,SN00ECLF0Z,AST-JBKNCT,YVBUOI,2025-08-13,0.0,Outbound Logistics,,SERIAL SN00ECLF0Z in LPN LPN-0000025 (delivery DEL-000209) Created: 2025-08-13. Asset tag present.,
LPN-0000025,DEL-000209,700043,SNAPADD2G5,AST-2FVCLG,YVBUOI,2025-08-13,0.0,Outbound Logistics,,SERIAL SNAPADD2G5 in LPN LPN-0000025 (delivery DEL-000209) Created: 2025-08-13. Asset tag present.,
LPN-0000103,DEL-000179,700044,SNPEY2RYUY,AST-FKFGHO,2LGUZF,2025-09-23,0.0,Outbound Logistics,,SERIAL SNPEY2RYUY in LPN LPN-0000103 (delivery DEL-000179) Created: 2025-09-23. Asset tag present.,
LPN-0000158,DEL-000213,700045,SNW4O6O3OM,AST-2458YB,HXKEZB,2025-07-06,0.0,Outbound Logistics,,SERIAL SNW4O6O3OM in LPN LPN-0000158 (delivery DEL-000213) Created: 2025-07-06. Asset tag present.,
LPN-0000158,DEL-000213,700045,SN2K68FUKN,AST-ZIIQR7,HXKEZB,2025-07-06,0.0,Outbound Logistics,,SERIAL SN2K68FUKN in LPN LPN-0000158 (delivery DEL-000213) Created: 2025-07-06. Asset tag present.,
LPN-0000158,DEL-000213,700045,SNQK7Q3AVM,AST-DVW5RV,HXKEZB,2025-07-06,0.0,Outbound Logistics,,SERIAL SNQK7Q3AVM in LPN LPN-0000158 (delivery DEL-000213) Created: 2025-07-06. Asset tag present.,
LPN-0000158,DEL-000213,700045,SNQPA2J68U,AST-FEQV82,HXKEZB,2025-07-06,0.0,Outbound Logistics,,SERIAL SNQPA2J68U in LPN LPN-0000158 (delivery DEL-000213) Created: 2025-07-06. Asset tag present.,
